_index,_type,_id,_score,authors,average_rating,average_rating_rounded,books_count,id,image,image_medium,isbn,language_code,original_publication_year,original_series,original_title,ratings_count,title
good-books-ds,good-books-ds,5676,1,"Arthur C. Clarke, Gentry Lee",3.76,4,48,5676,https://images.gr-assets.com/books/1375814957l/112518.jpg,https://images.gr-assets.com/books/1375814957m/112518.jpg,1857230213,eng,1991,Rama,"The Garden of Rama (Rama, #3)",16389,"The Garden of Rama (Rama, #3)"
good-books-ds,good-books-ds,5681,1,Darren Shan,4.22,4,52,5681,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,2003,Cirque Du Freak,"Killers of the Dawn (Cirque Du Freak, #9)",18194,"Killers of the Dawn (Cirque Du Freak, #9)"
good-books-ds,good-books-ds,5683,1,"Laura Joffe Numeroff, Felicia Bond",4.16,4,13,5683,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,60278684,,2000,,If You Take a Mouse to the Movies,17938,If You Take a Mouse to the Movies
good-books-ds,good-books-ds,5685,1,"Orson Scott Card, James Cameron",4.06,4,15,5685,https://images.gr-assets.com/books/1225165505l/40289.jpg,https://images.gr-assets.com/books/1225165505m/40289.jpg,99690608,eng,1989,,The Abyss,16318,The Abyss
good-books-ds,good-books-ds,5687,1,"Katarina Bivald, Alice Menzies",3.56,4,63,5687,https://images.gr-assets.com/books/1452107441l/25573977.jpg,https://images.gr-assets.com/books/1452107441m/25573977.jpg,149262344X,eng,2013,,Läsarna i Broken Wheel rekommenderar,14571,The Readers of Broken Wheel Recommend
good-books-ds,good-books-ds,5693,1,Christian Lander,3.76,4,15,5693,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,812979915,en-US,2008,,Stuff White People Like: the Definitive Guide to the Unique Taste of Millions,15888,Stuff White People Like: A Definitive Guide to the Unique Taste of Millions
good-books-ds,good-books-ds,5694,1,Nora Roberts,4.06,4,52,5694,https://images.gr-assets.com/books/1458263077l/18754961.jpg,https://images.gr-assets.com/books/1458263077m/18754961.jpg,425259870,eng,2014,The Cousins O'Dwyer Trilogy,Blood Magick,14167,"Blood Magick (The Cousins O'Dwyer Trilogy, #3)"
good-books-ds,good-books-ds,5701,1,Willy Lindwer,4.34,4,16,5701,https://images.gr-assets.com/books/1320487142l/769212.jpg,https://images.gr-assets.com/books/1320487142m/769212.jpg,385423608,,1988,,The Last Seven Months of Anne Frank,15096,The Last Seven Months of Anne Frank
good-books-ds,good-books-ds,5705,1,Ken Follett,3.91,4,85,5705,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,451219597,eng,2001,,Jackdaws,17489,Jackdaws
good-books-ds,good-books-ds,5708,1,Ben Mikaelsen,3.85,4,29,5708,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,60734000,eng,1997,Spirit Bear,Touching Spirit Bear,17706,"Touching Spirit Bear (Spirit Bear, #1)"
